ID,Time(in s),Value 
01,0,3.0
01,1,3.0
01,10,3.39
01,11,3.53
01,12,3.55
01,13,3.53
01,14,3.57
01,15,3.94
01,16,3.95
01,17,3.95
01,18,3.95
01,19,3.95
01,2,3.0
01,20,3.27
01,21,2.82
01,22,3.2
01,23,3.42
01,24,2.16
01,25,1.86
01,26,3.12
01,27,3.29
01,28,3.61
01,29,3.6
01,3,3.0
01,30,3.57
01,31,3.42
01,32,3.42
01,33,3.68
01,34,4.49
01,35,4.51
01,36,4.51
01,37,4.74
01,38,4.81
01,39,4.8
01,4,3.0
01,40,4.76
01,41,4.76
01,42,4.76
01,43,4.73
01,44,4.52
01,45,4.54
01,46,4.63
01,47,4.66
01,48,4.67
01,49,4.61
01,5,3.01
01,50,3.28
01,51,3.14
01,52,2.17
01,53,2.13
01,54,2.13
01,55,2.04
01,56,2.0
01,57,2.02
01,58,2.19
01,59,2.41
01,6,3.21
01,60,3.13
01,61,3.25
01,62,3.71
01,63,4.06
01,64,4.08
01,7,3.39
01,8,3.41
01,9,3.41
02,0,3.0
02,1,3.0
02,10,4.89
02,11,4.89
02,12,4.89
02,13,4.3
02,14,3.98
02,15,4.36
02,16,4.59
02,17,4.4
02,18,4.4
02,19,4.44
02,2,3.0
02,20,4.66
02,21,4.45
02,22,3.36
02,23,3.86
02,24,3.8
02,25,4.21
02,26,4.24
02,27,3.72
02,28,3.57
02,29,3.75
02,3,3.0
02,30,3.9
02,31,3.39
02,32,2.36
02,33,2.65
02,34,3.34
02,35,3.5
02,36,3.62
02,37,3.62
02,38,3.7
02,39,4.02
02,4,3.7
02,40,4.22
02,41,4.22
02,42,4.22
02,43,4.22
02,44,4.46
02,45,4.34
02,46,4.34
02,47,4.15
02,48,2.37
02,49,1.82
02,5,4.7
02,50,1.83
02,51,1.76
02,52,1.5
02,53,1.57
02,54,1.64
02,55,1.82
02,56,1.97
02,57,2.08
02,58,2.36
02,59,2.76
02,6,4.81
02,60,3.66
02,61,3.91
02,62,3.91
02,63,3.97
02,64,4.0
02,7,4.89
02,8,4.89
02,9,4.89

